Filename,BSO,GA
5-50-test.csv,4402,4631
10-100-test.csv,8469,8624
15-150-test.csv,11800,12089
20-200-test.csv,16431,17035
25-250-test.csv,18813,19786
30-300-test.csv,27150,27379
35-350-test.csv,30713,31772
40-400-test.csv,34322,35600
45-450-test.csv,40583,41425
50-500-test.csv,42677,44181
